方,,ほう,,,両方に突き出た柄のあるすきの象形で、ならんで耕すさまから、ならぶ・かたわらの意味を表す。
訪,言,ほう,目,耳,方+言。"方"は、左右に広がるの意味。言葉を左右前後に張り出して行く、広くたずねるの意味を表す。
坊,土,ぼう,火,凡,方+土。"方"は、左右に広がるの意味。左右に広がる村里の意味を表す。
妨,女,ぼう,男,子,方+女。"方"は、左右に突き出すの意味。手を左右に突き出し、さまたげるの意味を表す。
房,戸,ぼう,門,尸,方+戸。"方"は、かたわらに張り出すの意味。堂の左右に張り出した所にある小室の意味を表す。
肪,月,ぼう,且,太,方+月(肉)。"方"は、両方に張り出すの意味。肉体が張り出す、あぶらぎるの意味を表す。
紡,糸,ほう/ツムぐ,木,金,方+糸。"方"は、並べるの意味。糸をならべていく、つむぐの意味を表す。
芳,艸,ほう,花,葉,方+艸。"方"は、左右に広がるの意味。草花の香がひろがるの意味を表す。
放,攴,ほう,卜,手,方+攴(攵)。"方"は、左右に広がるの意味。攴は、強制するの意味。しいて左右に広げる、はなすの意味を表す。
